,Flight_Number,Airline,Origin_City,Origin_Airport,Destination_City,Destination_Airport,Departure_Time,Arrival_Time,Duration,Price,Available_Seats,Class,Flight_details
0,GO956,Go First,Chennai,MAA - Chennai Intl,Hyderabad,HYD - Rajiv Gandhi Intl,18:30,21:30,3h 45m,13678.74,11,Business,"GO956 - Go First | Chennai (MAA - Chennai Intl) → Hyderabad (HYD - Rajiv Gandhi Intl) | Departure: 18:30, Arrival: 21:30, Duration: 3h 45m | ₹13678.74, 11 seats left | Class: Business"
1,GO365,Go First,Kolkata,CCU - Netaji Subhas Chandra Bose Intl,Chennai,MAA - Chennai Intl,22:45,23:45,1h 45m,11365.27,88,Economy,"GO365 - Go First | Kolkata (CCU - Netaji Subhas Chandra Bose Intl) → Chennai (MAA - Chennai Intl) | Departure: 22:45, Arrival: 23:45, Duration: 1h 45m | ₹11365.27, 88 seats left | Class: Economy"
2,AK132,Akasa Air,Ahmedabad,AMD - Sardar Vallabhbhai Patel Intl,Mumbai,BOM - Chhatrapati Shivaji Intl,9:30,11:30,2h 00m,8590.63,22,Business,"AK132 - Akasa Air | Ahmedabad (AMD - Sardar Vallabhbhai Patel Intl) → Mumbai (BOM - Chhatrapati Shivaji Intl) | Departure: 9:30, Arrival: 11:30, Duration: 2h 00m | ₹8590.63, 22 seats left | Class: Business"
3,VI722,Vistara,Hyderabad,HYD - Rajiv Gandhi Intl,Chennai,MAA - Chennai Intl,16:30,18:30,2h 00m,9879.83,10,Economy,"VI722 - Vistara | Hyderabad (HYD - Rajiv Gandhi Intl) → Chennai (MAA - Chennai Intl) | Departure: 16:30, Arrival: 18:30, Duration: 2h 00m | ₹9879.83, 10 seats left | Class: Economy"
4,AI507,AirAsia India,Kolkata,CCU - Netaji Subhas Chandra Bose Intl,Bangalore,BLR - Kempegowda Intl,23:00,0:00,1h 45m,9273.71,28,Business,"AI507 - AirAsia India | Kolkata (CCU - Netaji Subhas Chandra Bose Intl) → Bangalore (BLR - Kempegowda Intl) | Departure: 23:00, Arrival: 0:00, Duration: 1h 45m | ₹9273.71, 28 seats left | Class: Business"
5,IN888,IndiGo,Bangalore,BLR - Kempegowda Intl,Hyderabad,HYD - Rajiv Gandhi Intl,8:30,9:30,1h 30m,12978.58,71,Economy,"IN888 - IndiGo | Bangalore (BLR - Kempegowda Intl) → Hyderabad (HYD - Rajiv Gandhi Intl) | Departure: 8:30, Arrival: 9:30, Duration: 1h 30m | ₹12978.58, 71 seats left | Class: Economy"
6,AI693,Air India,Jaipur,JAI - Jaipur Intl,Delhi,DEL - Indira Gandhi Intl,11:30,14:30,3h 30m,6710.08,26,Economy,"AI693 - Air India | Jaipur (JAI - Jaipur Intl) → Delhi (DEL - Indira Gandhi Intl) | Departure: 11:30, Arrival: 14:30, Duration: 3h 30m | ₹6710.08, 26 seats left | Class: Economy"
7,AI874,AirAsia India,Ahmedabad,AMD - Sardar Vallabhbhai Patel Intl,Kolkata,CCU - Netaji Subhas Chandra Bose Intl,22:30,23:30,1h 00m,2901.29,52,Economy,"AI874 - AirAsia India | Ahmedabad (AMD - Sardar Vallabhbhai Patel Intl) → Kolkata (CCU - Netaji Subhas Chandra Bose Intl) | Departure: 22:30, Arrival: 23:30, Duration: 1h 00m | ₹2901.29, 52 seats left | Class: Economy"
8,SP436,SpiceJet,Goa,GOI - Goa Dabolim Airport,Kolkata,CCU - Netaji Subhas Chandra Bose Intl,7:00,9:00,2h 00m,10768.75,84,Economy,"SP436 - SpiceJet | Goa (GOI - Goa Dabolim Airport) → Kolkata (CCU - Netaji Subhas Chandra Bose Intl) | Departure: 7:00, Arrival: 9:00, Duration: 2h 00m | ₹10768.75, 84 seats left | Class: Economy"
9,IN622,IndiGo,Jaipur,JAI - Jaipur Intl,Mumbai,BOM - Chhatrapati Shivaji Intl,20:30,23:30,3h 45m,12956.5,25,Economy,"IN622 - IndiGo | Jaipur (JAI - Jaipur Intl) → Mumbai (BOM - Chhatrapati Shivaji Intl) | Departure: 20:30, Arrival: 23:30, Duration: 3h 45m | ₹12956.5, 25 seats left | Class: Economy"
