,ID,Name,City,Neighborhood,Address,Stars,Price_Per_Night,Amenities,Rating,all_hotel_details
0,1,Royal Jaipur Suites,Jaipur,Malviya Nagar,"74, Avenue, Malviya Nagar, Jaipur",3.7,8511.44,"Spa, Parking, Laundry Service, Restaurant, Breakfast Included",3.4,"1, Royal Jaipur Suites, Jaipur, Malviya Nagar, 74, Avenue, Malviya Nagar, Jaipur, 3.7, 8511.44, Spa, Parking, Laundry Service, Restaurant, Breakfast Included, 3.4, Royal Jaipur Suites is a 3.7-star hotel located in Malviya Nagar, Jaipur. The hotel offers Spa, Parking, Laundry Service, Restaurant, Breakfast Included. It's priced at ₹8511.44 per night and has a guest rating of 3.4/5., 1, Royal Jaipur Suites, Jaipur, Malviya Nagar, 74, Avenue, Malviya Nagar, Jaipur, 3.7, 8511.44, Spa, Parking, Laundry Service, Restaurant, Breakfast Included, 3.4, Royal Jaipur Suites is a 3.7-star hotel located in Malviya Nagar, Jaipur. The hotel offers Spa, Parking, Laundry Service, Restaurant, Breakfast Included. It's priced at ₹8511.44 per night and has a guest rating of 3.4/5., 1, Royal Jaipur Suites, Jaipur, Malviya Nagar, 74, Avenue, Malviya Nagar, Jaipur, 3.7, 8511.44, Spa, Parking, Laundry Service, Restaurant, Breakfast Included, 3.4, Royal Jaipur Suites is a 3.7-star hotel located in Malviya Nagar, Jaipur. The hotel offers Spa, Parking, Laundry Service, Restaurant, Breakfast Included. It's priced at ₹8511.44 per night and has a guest rating of 3.4/5., 1, Royal Jaipur Suites, Jaipur, Malviya Nagar, 74, Avenue, Malviya Nagar, Jaipur, 3.7, 8511.44, Spa, Parking, Laundry Service, Restaurant, Breakfast Included, 3.4, Royal Jaipur Suites is a 3.7-star hotel located in Malviya Nagar, Jaipur. The hotel offers Spa, Parking, Laundry Service, Restaurant, Breakfast Included. It's priced at ₹8511.44 per night and has a guest rating of 3.4/5."
1,2,Royal Delhi Residency,Delhi,Connaught Place,"15, Street, Connaught Place, Delhi",4,10581.48,"Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center",3.4,"2, Royal Delhi Residency, Delhi, Connaught Place, 15, Street, Connaught Place, Delhi, 4.0, 10581.48, Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center, 3.4, Royal Delhi Residency is a 4.0-star hotel located in Connaught Place, Delhi. The hotel offers Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center. It's priced at ₹10581.48 per night and has a guest rating of 3.4/5., 2, Royal Delhi Residency, Delhi, Connaught Place, 15, Street, Connaught Place, Delhi, 4.0, 10581.48, Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center, 3.4, Royal Delhi Residency is a 4.0-star hotel located in Connaught Place, Delhi. The hotel offers Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center. It's priced at ₹10581.48 per night and has a guest rating of 3.4/5., 2, Royal Delhi Residency, Delhi, Connaught Place, 15, Street, Connaught Place, Delhi, 4.0, 10581.48, Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center, 3.4, Royal Delhi Residency is a 4.0-star hotel located in Connaught Place, Delhi. The hotel offers Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center. It's priced at ₹10581.48 per night and has a guest rating of 3.4/5., 2, Royal Delhi Residency, Delhi, Connaught Place, 15, Street, Connaught Place, Delhi, 4.0, 10581.48, Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center, 3.4, Royal Delhi Residency is a 4.0-star hotel located in Connaught Place, Delhi. The hotel offers Swimming Pool, Parking, Bar, Room Service, Breakfast Included, Fitness Center. It's priced at ₹10581.48 per night and has a guest rating of 3.4/5."
2,3,Royal Chennai Residency,Chennai,Mylapore,"89, Street, Mylapore, Chennai",4.8,2459.5,"Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle",4.9,"3, Royal Chennai Residency, Chennai, Mylapore, 89, Street, Mylapore, Chennai, 4.8, 2459.5, Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle, 4.9, Royal Chennai Residency is a 4.8-star hotel located in Mylapore, Chennai. The hotel offers Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle. It's priced at ₹2459.5 per night and has a guest rating of 4.9/5., 3, Royal Chennai Residency, Chennai, Mylapore, 89, Street, Mylapore, Chennai, 4.8, 2459.5, Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle, 4.9, Royal Chennai Residency is a 4.8-star hotel located in Mylapore, Chennai. The hotel offers Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle. It's priced at ₹2459.5 per night and has a guest rating of 4.9/5., 3, Royal Chennai Residency, Chennai, Mylapore, 89, Street, Mylapore, Chennai, 4.8, 2459.5, Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle, 4.9, Royal Chennai Residency is a 4.8-star hotel located in Mylapore, Chennai. The hotel offers Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle. It's priced at ₹2459.5 per night and has a guest rating of 4.9/5., 3, Royal Chennai Residency, Chennai, Mylapore, 89, Street, Mylapore, Chennai, 4.8, 2459.5, Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle, 4.9, Royal Chennai Residency is a 4.8-star hotel located in Mylapore, Chennai. The hotel offers Room Service, Restaurant, Spa, Free Wi-Fi, Business Center, Airport Shuttle. It's priced at ₹2459.5 per night and has a guest rating of 4.9/5."
3,4,Luxury Ahmedabad Resort,Ahmedabad,Bodakdev,"4, Boulevard, Bodakdev, Ahmedabad",4.6,16403.93,"Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa",4.1,"4, Luxury Ahmedabad Resort, Ahmedabad, Bodakdev, 4, Boulevard, Bodakdev, Ahmedabad, 4.6, 16403.93, Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa, 4.1, Luxury Ahmedabad Resort is a 4.6-star hotel located in Bodakdev, Ahmedabad. The hotel offers Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa. It's priced at ₹16403.93 per night and has a guest rating of 4.1/5., 4, Luxury Ahmedabad Resort, Ahmedabad, Bodakdev, 4, Boulevard, Bodakdev, Ahmedabad, 4.6, 16403.93, Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa, 4.1, Luxury Ahmedabad Resort is a 4.6-star hotel located in Bodakdev, Ahmedabad. The hotel offers Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa. It's priced at ₹16403.93 per night and has a guest rating of 4.1/5., 4, Luxury Ahmedabad Resort, Ahmedabad, Bodakdev, 4, Boulevard, Bodakdev, Ahmedabad, 4.6, 16403.93, Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa, 4.1, Luxury Ahmedabad Resort is a 4.6-star hotel located in Bodakdev, Ahmedabad. The hotel offers Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa. It's priced at ₹16403.93 per night and has a guest rating of 4.1/5., 4, Luxury Ahmedabad Resort, Ahmedabad, Bodakdev, 4, Boulevard, Bodakdev, Ahmedabad, 4.6, 16403.93, Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa, 4.1, Luxury Ahmedabad Resort is a 4.6-star hotel located in Bodakdev, Ahmedabad. The hotel offers Conference Room, Restaurant, Concierge, Breakfast Included, Room Service, Spa. It's priced at ₹16403.93 per night and has a guest rating of 4.1/5."
4,5,Comfort Chennai Plaza,Chennai,Mylapore,"70, Boulevard, Mylapore, Chennai",3.6,9773.18,"Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service",5,"5, Comfort Chennai Plaza, Chennai, Mylapore, 70, Boulevard, Mylapore, Chennai, 3.6, 9773.18, Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service, 5.0, Comfort Chennai Plaza is a 3.6-star hotel located in Mylapore, Chennai. The hotel offers Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service. It's priced at ₹9773.18 per night and has a guest rating of 5.0/5., 5, Comfort Chennai Plaza, Chennai, Mylapore, 70, Boulevard, Mylapore, Chennai, 3.6, 9773.18, Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service, 5.0, Comfort Chennai Plaza is a 3.6-star hotel located in Mylapore, Chennai. The hotel offers Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service. It's priced at ₹9773.18 per night and has a guest rating of 5.0/5., 5, Comfort Chennai Plaza, Chennai, Mylapore, 70, Boulevard, Mylapore, Chennai, 3.6, 9773.18, Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service, 5.0, Comfort Chennai Plaza is a 3.6-star hotel located in Mylapore, Chennai. The hotel offers Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service. It's priced at ₹9773.18 per night and has a guest rating of 5.0/5., 5, Comfort Chennai Plaza, Chennai, Mylapore, 70, Boulevard, Mylapore, Chennai, 3.6, 9773.18, Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service, 5.0, Comfort Chennai Plaza is a 3.6-star hotel located in Mylapore, Chennai. The hotel offers Swimming Pool, Spa, Parking, Laundry Service, Restaurant, Room Service. It's priced at ₹9773.18 per night and has a guest rating of 5.0/5."
5,6,Premium Ahmedabad Plaza,Ahmedabad,Bodakdev,"35, Avenue, Bodakdev, Ahmedabad",3.9,14776.1,"Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi",3.8,"6, Premium Ahmedabad Plaza, Ahmedabad, Bodakdev, 35, Avenue, Bodakdev, Ahmedabad, 3.9, 14776.1, Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi, 3.8, Premium Ahmedabad Plaza is a 3.9-star hotel located in Bodakdev, Ahmedabad. The hotel offers Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi. It's priced at ₹14776.1 per night and has a guest rating of 3.8/5., 6, Premium Ahmedabad Plaza, Ahmedabad, Bodakdev, 35, Avenue, Bodakdev, Ahmedabad, 3.9, 14776.1, Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi, 3.8, Premium Ahmedabad Plaza is a 3.9-star hotel located in Bodakdev, Ahmedabad. The hotel offers Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi. It's priced at ₹14776.1 per night and has a guest rating of 3.8/5., 6, Premium Ahmedabad Plaza, Ahmedabad, Bodakdev, 35, Avenue, Bodakdev, Ahmedabad, 3.9, 14776.1, Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi, 3.8, Premium Ahmedabad Plaza is a 3.9-star hotel located in Bodakdev, Ahmedabad. The hotel offers Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi. It's priced at ₹14776.1 per night and has a guest rating of 3.8/5., 6, Premium Ahmedabad Plaza, Ahmedabad, Bodakdev, 35, Avenue, Bodakdev, Ahmedabad, 3.9, 14776.1, Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi, 3.8, Premium Ahmedabad Plaza is a 3.9-star hotel located in Bodakdev, Ahmedabad. The hotel offers Bar, Swimming Pool, Spa, Restaurant, Concierge, Business Center, Free Wi-Fi. It's priced at ₹14776.1 per night and has a guest rating of 3.8/5."
6,7,The Bangalore Retreat,Bangalore,Indiranagar,"59, Boulevard, Indiranagar, Bangalore",4.8,7197.23,"Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi",4.8,"7, The Bangalore Retreat, Bangalore, Indiranagar, 59, Boulevard, Indiranagar, Bangalore, 4.8, 7197.23, Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi, 4.8, The Bangalore Retreat is a 4.8-star hotel located in Indiranagar, Bangalore. The hotel offers Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi. It's priced at ₹7197.23 per night and has a guest rating of 4.8/5., 7, The Bangalore Retreat, Bangalore, Indiranagar, 59, Boulevard, Indiranagar, Bangalore, 4.8, 7197.23, Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi, 4.8, The Bangalore Retreat is a 4.8-star hotel located in Indiranagar, Bangalore. The hotel offers Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi. It's priced at ₹7197.23 per night and has a guest rating of 4.8/5., 7, The Bangalore Retreat, Bangalore, Indiranagar, 59, Boulevard, Indiranagar, Bangalore, 4.8, 7197.23, Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi, 4.8, The Bangalore Retreat is a 4.8-star hotel located in Indiranagar, Bangalore. The hotel offers Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi. It's priced at ₹7197.23 per night and has a guest rating of 4.8/5., 7, The Bangalore Retreat, Bangalore, Indiranagar, 59, Boulevard, Indiranagar, Bangalore, 4.8, 7197.23, Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi, 4.8, The Bangalore Retreat is a 4.8-star hotel located in Indiranagar, Bangalore. The hotel offers Business Center, Concierge, Swimming Pool, Room Service, Free Wi-Fi. It's priced at ₹7197.23 per night and has a guest rating of 4.8/5."
7,8,Luxury Delhi Plaza,Delhi,Karol Bagh,"66, Avenue, Karol Bagh, Delhi",3.1,15220.33,"Swimming Pool, Restaurant, Airport Shuttle, Business Center",3.6,"8, Luxury Delhi Plaza, Delhi, Karol Bagh, 66, Avenue, Karol Bagh, Delhi, 3.1, 15220.33, Swimming Pool, Restaurant, Airport Shuttle, Business Center, 3.6, Luxury Delhi Plaza is a 3.1-star hotel located in Karol Bagh, Delhi. The hotel offers Swimming Pool, Restaurant, Airport Shuttle, Business Center. It's priced at ₹15220.33 per night and has a guest rating of 3.6/5., 8, Luxury Delhi Plaza, Delhi, Karol Bagh, 66, Avenue, Karol Bagh, Delhi, 3.1, 15220.33, Swimming Pool, Restaurant, Airport Shuttle, Business Center, 3.6, Luxury Delhi Plaza is a 3.1-star hotel located in Karol Bagh, Delhi. The hotel offers Swimming Pool, Restaurant, Airport Shuttle, Business Center. It's priced at ₹15220.33 per night and has a guest rating of 3.6/5., 8, Luxury Delhi Plaza, Delhi, Karol Bagh, 66, Avenue, Karol Bagh, Delhi, 3.1, 15220.33, Swimming Pool, Restaurant, Airport Shuttle, Business Center, 3.6, Luxury Delhi Plaza is a 3.1-star hotel located in Karol Bagh, Delhi. The hotel offers Swimming Pool, Restaurant, Airport Shuttle, Business Center. It's priced at ₹15220.33 per night and has a guest rating of 3.6/5., 8, Luxury Delhi Plaza, Delhi, Karol Bagh, 66, Avenue, Karol Bagh, Delhi, 3.1, 15220.33, Swimming Pool, Restaurant, Airport Shuttle, Business Center, 3.6, Luxury Delhi Plaza is a 3.1-star hotel located in Karol Bagh, Delhi. The hotel offers Swimming Pool, Restaurant, Airport Shuttle, Business Center. It's priced at ₹15220.33 per night and has a guest rating of 3.6/5."
8,9,Premium Delhi Plaza,Delhi,Connaught Place,"87, Boulevard, Connaught Place, Delhi",4.8,18811.77,"Swimming Pool, Parking, Free Wi-Fi, Restaurant",4.1,"9, Premium Delhi Plaza, Delhi, Connaught Place, 87, Boulevard, Connaught Place, Delhi, 4.8, 18811.77, Swimming Pool, Parking, Free Wi-Fi, Restaurant, 4.1, Premium Delhi Plaza is a 4.8-star hotel located in Connaught Place, Delhi. The hotel offers Swimming Pool, Parking, Free Wi-Fi, Restaurant. It's priced at ₹18811.77 per night and has a guest rating of 4.1/5., 9, Premium Delhi Plaza, Delhi, Connaught Place, 87, Boulevard, Connaught Place, Delhi, 4.8, 18811.77, Swimming Pool, Parking, Free Wi-Fi, Restaurant, 4.1, Premium Delhi Plaza is a 4.8-star hotel located in Connaught Place, Delhi. The hotel offers Swimming Pool, Parking, Free Wi-Fi, Restaurant. It's priced at ₹18811.77 per night and has a guest rating of 4.1/5., 9, Premium Delhi Plaza, Delhi, Connaught Place, 87, Boulevard, Connaught Place, Delhi, 4.8, 18811.77, Swimming Pool, Parking, Free Wi-Fi, Restaurant, 4.1, Premium Delhi Plaza is a 4.8-star hotel located in Connaught Place, Delhi. The hotel offers Swimming Pool, Parking, Free Wi-Fi, Restaurant. It's priced at ₹18811.77 per night and has a guest rating of 4.1/5., 9, Premium Delhi Plaza, Delhi, Connaught Place, 87, Boulevard, Connaught Place, Delhi, 4.8, 18811.77, Swimming Pool, Parking, Free Wi-Fi, Restaurant, 4.1, Premium Delhi Plaza is a 4.8-star hotel located in Connaught Place, Delhi. The hotel offers Swimming Pool, Parking, Free Wi-Fi, Restaurant. It's priced at ₹18811.77 per night and has a guest rating of 4.1/5."
9,10,Royal Kolkata Retreat,Kolkata,Park Street,"52, Avenue, Park Street, Kolkata",3.8,11367.46,"Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar",4.6,"10, Royal Kolkata Retreat, Kolkata, Park Street, 52, Avenue, Park Street, Kolkata, 3.8, 11367.46, Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar, 4.6, Royal Kolkata Retreat is a 3.8-star hotel located in Park Street, Kolkata. The hotel offers Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar. It's priced at ₹11367.46 per night and has a guest rating of 4.6/5., 10, Royal Kolkata Retreat, Kolkata, Park Street, 52, Avenue, Park Street, Kolkata, 3.8, 11367.46, Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar, 4.6, Royal Kolkata Retreat is a 3.8-star hotel located in Park Street, Kolkata. The hotel offers Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar. It's priced at ₹11367.46 per night and has a guest rating of 4.6/5., 10, Royal Kolkata Retreat, Kolkata, Park Street, 52, Avenue, Park Street, Kolkata, 3.8, 11367.46, Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar, 4.6, Royal Kolkata Retreat is a 3.8-star hotel located in Park Street, Kolkata. The hotel offers Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar. It's priced at ₹11367.46 per night and has a guest rating of 4.6/5., 10, Royal Kolkata Retreat, Kolkata, Park Street, 52, Avenue, Park Street, Kolkata, 3.8, 11367.46, Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar, 4.6, Royal Kolkata Retreat is a 3.8-star hotel located in Park Street, Kolkata. The hotel offers Restaurant, Parking, Free Wi-Fi, Conference Room, Room Service, Bar. It's priced at ₹11367.46 per night and has a guest rating of 4.6/5."
